# name	aliases	category	syntax	summary	description   (WRASM dialect — documented from our own source)
.if	.elseif .else .endif	control-flow	.if cond … .elseif cond … .else … .endif	.if/.elseif/.else/.endif — structured conditional	A high-level conditional that lowers to a `cmp`/`jcc` skeleton you can see in `--emit-asm`. Conditions compare registers/values, picking signed or unsigned tests from the operands. Nest freely; close every `.if` with `.endif`.
.while	.endw	control-flow	.while cond … .endw	.while/.endw — top-tested loop	Runs the body while `cond` holds, lowering to a visible compare-and-branch. Use `.break`/`.continue` inside; close with `.endw`.
.repeat	.until	control-flow	.repeat … .until cond	.repeat/.until — bottom-tested loop	Runs the body at least once, then repeats **until** `cond` becomes true — the inverse-tested sibling of `.while`.
.for	.endfor .forever	control-flow	.for al = '0' to '9' … .endfor	.for/.endfor — counted loop	A counted loop over a register from a start to an end value (`.for al = '0' to '9'`), lowering to visible init/compare/increment. `.forever` is an unconditional loop you exit with `.break`.
.break	.continue	control-flow	.break   ·   .continue	.break/.continue — loop control	`.break` exits the innermost `.while`/`.repeat`/`.for`; `.continue` jumps to its next iteration. Conditional forms are also accepted.
macro	endm local	macro	NAME MACRO p1, p2 … ENDM	MACRO/ENDM — define a text macro	Defines a MASM-style macro — `NAME MACRO a, b` … `ENDM` — invoked as `NAME x, y`. `LOCAL lbl` inside gives each expansion unique labels. It expands to visible instructions inline (shown in the ghost listing).
.include		misc	.include "file.was"	.include — compose a program from many files	Textually includes another source file at this point, so a program can be split across files. Resolved before assembly — and before the IDE's F5 build/run.
equ		data	NAME equ value   ·   NAME = value	equ/= — define a constant (equate)	Binds `NAME` to a constant value used in place of a literal. In the IDE, Ctrl+click a use to jump to its definition.
.globl	.global	misc	.globl NAME	.globl — export a symbol	Marks `NAME` as global so the linker (and the PE entry point) can see it. `.global` is a synonym.
.code	.text .data	misc	.code   ·   .data	.code/.data — section directives	`.code`/`.text` start the executable code section; `.data` starts the writable data section.
